Source,Target,id,weight
8,889,0,0.008064516129032258
138,679,1,0.07692307692307693
439,635,2,0.003105590062111801
286,391,3,0.024390243902439025
77,836,4,0.00980392156862745
138,677,5,0.07692307692307693
1,769,6,0.017391304347826087
624,1084,7,0.015873015873015872
82,603,8,0.022222222222222223
439,638,9,0.003105590062111801
150,532,10,0.05263157894736842
321,860,11,0.06451612903225806
33,54,12,1.9357336430507162E-4
26,506,13,0.01443298969072165
26,504,14,0.011320754716981131
33,55,15,0.125
33,56,16,0.009569377990430622
138,681,17,0.07692307692307693
30,199,18,0.04602510460251046
17,682,19,0.014285714285714285
77,837,20,0.029411764705882353
300,1162,21,0.038461538461538464
1,758,22,0.09375
19,1094,23,0.030303030303030304
117,642,24,0.014084507042253521
26,515,25,0.001941747572815534
33,41,26,0.0015432098765432098
2,1076,27,8.51063829787234E-4
26,516,28,0.001941747572815534
56,241,29,0.005208333333333333
217,470,30,0.008620689655172414
17,671,31,0.002857142857142857
2,1075,32,0.001519756838905775
19,1086,33,0.007462686567164179
8,862,34,0.00273224043715847
616,1097,35,0.041666666666666664
77,813,36,0.0875
745,960,37,0.021739130434782608
8,869,38,0.00273224043715847
26,524,39,0.005825242718446602
949,1045,40,0.0033112582781456954
25,218,41,0.001697792869269949
307,568,42,0.16666666666666666
26,525,43,5.159958720330237E-4
334,568,44,0.018867924528301886
300,1141,45,0.03225806451612903
56,257,46,0.016666666666666666
8,870,47,0.020134228187919462
19,1058,48,0.020454545454545454
17,699,49,0.001098901098901099
8,879,50,0.030864197530864196
916,978,51,0.11538461538461539
529,682,52,0.08064516129032258
26,532,53,0.002061855670103093
25,200,54,0.001697792869269949
82,636,55,0.022222222222222223
916,975,56,0.05555555555555555
25,209,57,0.001697792869269949
86,676,58,0.0024813895781637717
321,834,59,0.06451612903225806
485,916,60,0.0425531914893617
409,461,61,0.00727802037845706
77,826,62,0.0038314176245210726
17,694,63,0.0011198208286674132
17,697,64,0.07006369426751592
86,679,65,0.05128205128205128
356,1114,66,0.265625
8,883,67,0.02348993288590604
402,570,68,0.15789473684210525
86,677,69,0.08108108108108109
8,880,70,0.10067114093959731
82,647,71,0.2980132450331126
60,739,72,0.1891891891891892
33,90,73,0.0013550135501355014
5,480,74,0.001692047377326565
5,482,75,4.2301184433164127E-4
5,487,76,0.010810810810810811
149,734,77,0.007874015748031496
5,489,78,0.0025380710659898475
107,871,79,0.1
5,484,80,8.460236886632825E-4
5,486,81,9.84251968503937E-4
149,736,82,0.007874015748031496
5,469,83,4.2301184433164127E-4
86,619,84,0.009433962264150943
56,209,85,0.004784688995215311
5,470,86,0.001443001443001443
8,860,87,0.006024096385542169
5,471,88,4.2301184433164127E-4
270,589,89,0.07894736842105263
77,804,90,0.0375
5,478,91,4.2301184433164127E-4
91,373,92,0.00510204081632653
5,476,93,0.018604651162790697
5,477,94,0.005405405405405406
352,626,95,0.0034129692832764505
5,472,96,0.001968503937007874
82,668,97,0.006622516556291391
24,782,98,0.018691588785046728
150,591,99,0.003952569169960474
389,1269,100,0.06944444444444445
24,787,101,0.004672897196261682
205,906,102,0.009817671809256662
33,70,103,0.0027100271002710027
141,680,104,0.14583333333333334
300,1181,105,0.03225806451612903
145,1234,106,0.125
33,76,107,0.0036496350364963502
33,75,108,1.9357336430507162E-4
24,792,109,0.004672897196261682
111,1125,110,0.009259259259259259
8,836,111,0.013245033112582781
24,797,112,0.024390243902439025
